TXNAME	GENEID	Bear_R1.sorted	CML10_R1.sorted	Chipie_R1.sorted	ChrystalPoumon_R1.sorted	ChrystalRate_R1.sorted	Popsi_R1.sorted	Twiny_R1.sorted	Vico_R1.sorted
ENSCAFT00805014992	ENSCAFG00805008154	7.90645	0	1.5	0	0.33333	6	19.25611	0
ENSCAFT00805014993	ENSCAFG00805008175	0	0	0	0	0	0	0	0
ENSCAFT00805014994	ENSCAFG00805008168	0	0	0	0	0	0	0	0
ENSCAFT00805014995	ENSCAFG00805007932	0	0	0	0	0	0	0	0
ENSCAFT00805014996	ENSCAFG00805008176	0	0	0	0	0	0	0	0
ENSCAFT00805014997	ENSCAFG00805008105	0	0	0	0	0	0	0	0
ENSCAFT00805014998	ENSCAFG00805008174	0	0	0	0	0	0	0	0
ENSCAFT00805014999	ENSCAFG00805007932	3.79138	0	0	0	0	0	0	0
ENSCAFT00805015000	ENSCAFG00805008177	0	2	1	0	0	0	0	0
ENSCAFT00805015001	ENSCAFG00805008178	0	0	0	0	0	0	0	0
ENSCAFT00805015002	ENSCAFG00805008123	0	8.45927	0	0	5.06035	7.27841	0	0
ENSCAFT00805015003	ENSCAFG00805008182	0	2	0	0	0	1	0	0
ENSCAFT00805015004	ENSCAFG00805008144	1	0	0	0	0	0	0	1
ENSCAFT00805015005	ENSCAFG00805008168	0	1	0	18	0	0	1	0
ENSCAFT00805015006	ENSCAFG00805008154	2.41919	0	1.5	0	0.33333	0	0	1
ENSCAFT00805015007	ENSCAFG00805008183	0	0	0	0	0	0	0	0
ENSCAFT00805015008	ENSCAFG00805008181	273	747	536	1177	400	217	957	241
ENSCAFT00805015009	ENSCAFG00805008179	2.27586	8.16667	4	3	3.24194	19.63636	2.66667	10.46512
ENSCAFT00805015010	ENSCAFG00805008184	0	0	0	0	0	0	0	0
ENSCAFT00805015011	ENSCAFG00805008147	0	0	0	0	0	0	2.32328	0
ENSCAFT00805015012	ENSCAFG00805008185	0	0	0	0	0	0	0	0
ENSCAFT00805015013	ENSCAFG00805008184	0	0	0	0	0	0	0	0
ENSCAFT00805015014	ENSCAFG00805008187	0	0	0	0	0	0	0	0
ENSCAFT00805015015	ENSCAFG00805008105	0	0	0	0	0	0	0	0
ENSCAFT00805015016	ENSCAFG00805008174	0	0	0	0	0	0	0	0
ENSCAFT00805015017	ENSCAFG00805008189	0	1.05998	0	1.23974	0	0	0	0
ENSCAFT00805015018	ENSCAFG00805008186	3.72778	5.79428	0	0	3.85536	1.55739	1.58983	0
ENSCAFT00805015019	ENSCAFG00805008188	0	0	1.5	0	0	2	0	0
ENSCAFT00805015020	ENSCAFG00805008195	0	0	0	0	0	6	1	0
ENSCAFT00805015021	ENSCAFG00805008191	2	2	6	4	1	0	0	0
ENSCAFT00805015022	ENSCAFG00805008193	0	0	0	0	0	0	0	0
ENSCAFT00805015023	ENSCAFG00805008154	0	0	0	0	0.33333	0	0	0
ENSCAFT00805015024	ENSCAFG00805008188	7	0	1.5	0	0	2	0	0
ENSCAFT00805015025	ENSCAFG00805008144	1	0	0	0	0	0	0	1
ENSCAFT00805015026	ENSCAFG00805008189	85	181.74546	245.87015	277.75964	97	143.89679	92	152
ENSCAFT00805015027	ENSCAFG00805008201	0	0	0	0	0	0	0	0
ENSCAFT00805015028	ENSCAFG00805008199	0	1	0	0	1	0	0	0
ENSCAFT00805015029	ENSCAFG00805008190	80.1416	113.9188	116.33999	86.74229	49.45109	100.95883	123.14665	70.21886
ENSCAFT00805015030	ENSCAFG00805008123	0	10.12043	9.60453	0	0	0	0	0
ENSCAFT00805015031	ENSCAFG00805008180	31.19143	73.29271	15.21853	40.79686	0	42.19798	56.93776	11.84981
ENSCAFT00805015032	ENSCAFG00805008194	0	0	0	0	0	0	0	0
ENSCAFT00805015033	ENSCAFG00805008205	0	0	0	0	2	0	0	0
ENSCAFT00805015034	ENSCAFG00805008197	164.49228	219.87525	239.32467	433.56964	498.11414	140.80966	151.37472	120.40463
ENSCAFT00805015035	ENSCAFG00805008206	0	0	0	0	0	0	0	0
ENSCAFT00805015036	ENSCAFG00805008189	0	3.19456	5.12985	5.00062	0	1.10321	0	0
ENSCAFT00805015037	ENSCAFG00805008207	0	0	0	0	0	0	0	0
ENSCAFT00805015038	ENSCAFG00805008209	0	0	0	0	0	0	0	0
ENSCAFT00805015039	ENSCAFG00805008204	146.13846	389.98868	310.96154	273.45042	247.77247	104.98396	283.43834	60.75113
ENSCAFT00805015040	ENSCAFG00805008202	304	510	259	1385	274	1106	1448	309
ENSCAFT00805015041	ENSCAFG00805008197	0	0	3.14365	0	0	0	0	0
ENSCAFT00805015042	ENSCAFG00805008212	0	0	0	0	0	0	0	0
ENSCAFT00805015043	ENSCAFG00805008190	0	0	0	0	0	0	0	0
ENSCAFT00805015044	ENSCAFG00805008214	0	1	0	0	0	0	0	0
ENSCAFT00805015045	ENSCAFG00805008105	0	25.45447	2.28823	0	0	0	0	0
ENSCAFT00805015046	ENSCAFG00805008213	0	0	0	0	0	0	0	0
ENSCAFT00805015047	ENSCAFG00805008186	0	0	0	0	0	0	1.88349	0
ENSCAFT00805015048	ENSCAFG00805008173	47.59735	20.60724	25.5927	10.65819	23.1854	86.99472	7	0.33333
ENSCAFT00805015049	ENSCAFG00805008217	0	49	0	0	0	0	0	0
ENSCAFT00805015050	ENSCAFG00805008215	0	0	0	0	0	0	0	0
ENSCAFT00805015051	ENSCAFG00805008200	11	110.98646	73.80263	24	35	40	27	19
ENSCAFT00805015052	ENSCAFG00805008203	1.66667	1.66667	0	0	0	4.5	0	0
ENSCAFT00805015053	ENSCAFG00805008210	0	0	0	0	0	0	0	0
ENSCAFT00805015054	ENSCAFG00805008211	0	5.33333	0	8.06667	3.33333	0	9.71429	0
ENSCAFT00805015055	ENSCAFG00805008221	0	0	0	0	0	0	0	0
ENSCAFT00805015056	ENSCAFG00805008222	9.43383	0	87.01897	18.27786	25.46471	14	7	7.0112
ENSCAFT00805015057	ENSCAFG00805008174	0	0	0	0	0	1	0	0
ENSCAFT00805015058	ENSCAFG00805008224	0	0	0	0	0	0	0	0
ENSCAFT00805015059	ENSCAFG00805008216	0	48	0	6	0	0	0	0
ENSCAFT00805015060	ENSCAFG00805008204	0.00001	12.6868	4.68355	25.60273	7.35389	0	14.19118	7.06325
ENSCAFT00805015061	ENSCAFG00805008224	0	0	0	0	0	0	0	0
ENSCAFT00805015062	ENSCAFG00805008105	0	3.88057	1.06636	0	0	0	0	0
ENSCAFT00805015063	ENSCAFG00805008226	0	0	0	0	0	0	0	0
ENSCAFT00805015064	ENSCAFG00805008194	58	0	0	0	0	2	0	0
ENSCAFT00805015065	ENSCAFG00805008227	0	0	0	0	0	0	0	0
ENSCAFT00805015066	ENSCAFG00805008173	0	0	0	0	0	0	0	0.33333
ENSCAFT00805015067	ENSCAFG00805008224	0	0	0	0	0	0	0	0
ENSCAFT00805015068	ENSCAFG00805008130	0	0	0	0	0	0	0	0
ENSCAFT00805015069	ENSCAFG00805008219	428	693	399	538.52055	301.76623	367	876	250
ENSCAFT00805015070	ENSCAFG00805008229	562.78158	1067.30419	1662.01046	2202.19804	1300.46447	483.17219	581.60824	916.53045
ENSCAFT00805015071	ENSCAFG00805008228	0	0	0	0	0	0	0	0
ENSCAFT00805015072	ENSCAFG00805008211	0	5.33333	0	0	3.33333	0	0	0
ENSCAFT00805015073	ENSCAFG00805008230	0	10.11103	10.48368	9.56816	19.9964	6.94126	3.2941	5.65227
ENSCAFT00805015074	ENSCAFG00805008186	231.51642	110.07247	462.16707	366.44403	90.25702	370.27834	171.34327	140.48084
ENSCAFT00805015075	ENSCAFG00805008229	5.21842	12.69581	25.93963	17.80196	16.53553	12.82781	6.39176	7.46955
ENSCAFT00805015076	ENSCAFG00805008234	10	3	17	19	4	1	6	8
ENSCAFT00805015077	ENSCAFG00805008123	0	0	19.20906	0	0	0	3.92743	0
ENSCAFT00805015078	ENSCAFG00805008232	81.9759	187.8534	182	141.99296	42	100.1	198.75377	45.80435
ENSCAFT00805015079	ENSCAFG00805008218	1.06832	0	11.19586	0	0	33.89041	0	0
ENSCAFT00805015080	ENSCAFG00805008196	121	312.88449	94.89655	68.81538	54.90196	89.24	49.65116	9
ENSCAFT00805015081	ENSCAFG00805008238	0	0	0	0	0	0	0	0
ENSCAFT00805015082	ENSCAFG00805008208	0	0	0	0	0	0	0	0
ENSCAFT00805015083	ENSCAFG00805008237	139.46914	143.16456	232	362.81183	311.52318	221.52	150.35	64.39024
ENSCAFT00805015084	ENSCAFG00805008225	0	0	0	0.00001	0	0	0.00001	20
ENSCAFT00805015085	ENSCAFG00805008235	0	0	3.1424	0	0	0	0	0
ENSCAFT00805015086	ENSCAFG00805008239	0	0	0	0	0	0	0	0
ENSCAFT00805015087	ENSCAFG00805008231	28	89.99999	30.6	157.42857	0	43	31.0862	38
ENSCAFT00805015088	ENSCAFG00805008229	0	0	1.04991	0	0	0	0	0
ENSCAFT00805015089	ENSCAFG00805008208	0	0	0	0	0	0	0	0
ENSCAFT00805015090	ENSCAFG00805008236	242	52	189	0	3	39	99	0
ENSCAFT00805015091	ENSCAFG00805008233	52.00445	0	14.93197	0	1	0	0	0
ENSCAFT00805015092	ENSCAFG00805008237	3.53086	1.83544	0	14.18817	8.47682	12.48	4.65	1.60976
ENSCAFT00805015093	ENSCAFG00805008245	0	0	0	0	0	0	0	0
ENSCAFT00805015094	ENSCAFG00805008248	0	0	0	0	0	0	0	0
ENSCAFT00805015095	ENSCAFG00805008198	0	0	0	0.84694	0	0	3.66178	0
ENSCAFT00805015096	ENSCAFG00805008192	2	0	0	0	0	0	0	0
ENSCAFT00805015097	ENSCAFG00805008180	20.21402	15.70729	5.78147	0	26.90005	13.15329	22.48535	0
ENSCAFT00805015098	ENSCAFG00805008225	142	90	38	333.99999	72	95	251.99999	20
ENSCAFT00805015099	ENSCAFG00805008247	1	2	2	0	3	0	0	1
ENSCAFT00805015100	ENSCAFG00805008240	0	0.5	0	0	0	0	0	0
ENSCAFT00805015101	ENSCAFG00805008246	0	0	0	1	0	0	0	0.5
ENSCAFT00805015102	ENSCAFG00805008243	0	0	0	0	0	0	0	0
ENSCAFT00805015103	ENSCAFG00805008253	0	0	0	0	0	0	0	0
ENSCAFT00805015104	ENSCAFG00805008235	0	2.68484	0	0	1.37427	0	0	0
ENSCAFT00805015105	ENSCAFG00805008251	0	0	0	0	0	0	0	0
ENSCAFT00805015106	ENSCAFG00805008249	0	2	1	0	0	11	0	0
ENSCAFT00805015107	ENSCAFG00805008242	87.03955	416.91835	472.31642	319.50619	132.08802	144.54677	121.77388	171.55677
ENSCAFT00805015108	ENSCAFG00805008254	0	0	0	0	0	0	0	0
ENSCAFT00805015109	ENSCAFG00805008241	164.29286	302.5625	340.93671	165.80667	157.04698	371.50685	419.06998	78.68852
ENSCAFT00805015110	ENSCAFG00805008174	0	0	0	0	0	1	0	0
ENSCAFT00805015111	ENSCAFG00805008231	0	0	0	0	0	0	0	0
ENSCAFT00805015112	ENSCAFG00805008257	0	0	0	0	0	0	0	0
ENSCAFT00805015113	ENSCAFG00805008259	0	0	0	0	0	0	0	0
ENSCAFT00805015114	ENSCAFG00805008250	2.93862	9.63104	0	0	0	20.09721	0.5	0
ENSCAFT00805015115	ENSCAFG00805008198	24.57725	12.88753	7.38911	0.84694	0	10.16511	3.66178	0
ENSCAFT00805015116	ENSCAFG00805008255	0	2	3	8	2	0	0	2
ENSCAFT00805015117	ENSCAFG00805008252	120.76436	207.49251	177.76921	259.87052	303.48931	62.95726	67.60281	190.91035
ENSCAFT00805015118	ENSCAFG00805008219	0	0	0	7.47945	12.23377	0	0	0
ENSCAFT00805015119	ENSCAFG00805008244	0	0	0	0	0	0	0.4389	0
ENSCAFT00805015120	ENSCAFG00805008253	0	0	1	0	0	0	0	0
ENSCAFT00805015121	ENSCAFG00805008225	0	0	0	0	0	0	0	0
ENSCAFT00805015122	ENSCAFG00805008256	0	0	0	0	0	0	0	0
ENSCAFT00805015123	ENSCAFG00805008208	0	0	0	0	0	0	0	0
ENSCAFT00805015124	ENSCAFG00805008261	0	0	0	0	0	0	0	0
ENSCAFT00805015125	ENSCAFG00805008123	0	0	0	0	0	0	0	0
ENSCAFT00805015126	ENSCAFG00805008266	0	0	2	0	0	0	0	0
ENSCAFT00805015127	ENSCAFG00805008265	0	3	0	1	0	0	0	3
ENSCAFT00805015128	ENSCAFG00805008130	0	0	0	0	0	0	0	0
ENSCAFT00805015129	ENSCAFG00805008233	1.69	0	0	0	0	0	0	0
ENSCAFT00805015130	ENSCAFG00805008264	0	0	0	0	0	0	0	0
ENSCAFT00805015131	ENSCAFG00805008243	0	0	0	0	0	0	0	0
ENSCAFT00805015132	ENSCAFG00805008218	1.06832	0.00001	11.19586	11.43419	8.10919	33.89041	0	0
ENSCAFT00805015133	ENSCAFG00805008262	0	0	0	0	0	0	0	0
ENSCAFT00805015134	ENSCAFG00805008258	31.15185	75	118	181	78	158.11858	192.31171	22
ENSCAFT00805015135	ENSCAFG00805008203	1.66667	1.66667	0	0	0	4.5	0	0
ENSCAFT00805015136	ENSCAFG00805008268	5	2.00508	8	7.01721	1.00368	2.01709	5	1
ENSCAFT00805015137	ENSCAFG00805008267	0	0	5	3	0	2	2	0
ENSCAFT00805015138	ENSCAFG00805008269	0	0	0	0	0	0	0	1
ENSCAFT00805015139	ENSCAFG00805008263	0	0	0	0	0	0	0	0
ENSCAFT00805015140	ENSCAFG00805008240	0	0.5	0	0	0	0	0	0
ENSCAFT00805015141	ENSCAFG00805008260	0	0.34343	0	0	0	0	0	0
ENSCAFT00805015142	ENSCAFG00805008272	1	1	0	0	2	0	0	0
ENSCAFT00805015143	ENSCAFG00805008242	0	0	1.32673	0	0	0	0	0
ENSCAFT00805015144	ENSCAFG00805008277	0	1	0	0	0	0	0	0
ENSCAFT00805015145	ENSCAFG00805008270	0	0	0	0	0	0	0	0
ENSCAFT00805015146	ENSCAFG00805008258	0	0	0	0	0	2.08593	2.14164	0
ENSCAFT00805015147	ENSCAFG00805008196	0	33.11551	1.10345	2.18462	1.09804	7.76	11.34884	0
ENSCAFT00805015148	ENSCAFG00805008198	0	15.79421	7.38911	0.84694	0	2.07934	3.66178	0
ENSCAFT00805015149	ENSCAFG00805008276	0	0	0	0	0	0	0	0
ENSCAFT00805015150	ENSCAFG00805008278	171	56	16	18	4	43	35	17
ENSCAFT00805015151	ENSCAFG00805008123	0	0	0	0	0	2.38226	0	0
ENSCAFT00805015152	ENSCAFG00805008271	0	0	0	0	0	0	0	0
ENSCAFT00805015153	ENSCAFG00805008241	22.70714	73.4375	61.06329	43.19333	37.95302	193.49315	146.93002	17.31148
ENSCAFT00805015154	ENSCAFG00805008268	240	392.99492	740	1215.98279	543.99632	469.98291	267	421
ENSCAFT00805015155	ENSCAFG00805008274	281	344	631	430	315	637	373	497
ENSCAFT00805015156	ENSCAFG00805008279	0	2	11	0	0	0	0	0
ENSCAFT00805015157	ENSCAFG00805008252	0	12.38703	0	0	0	0	0	0
ENSCAFT00805015158	ENSCAFG00805008281	0	0	0	0	0	0	0	0
ENSCAFT00805015159	ENSCAFG00805008280	0	0	0	0	0	0	0	0
ENSCAFT00805015160	ENSCAFG00805008258	2.84815	0	0	0	0	1.7955	5.54665	0
ENSCAFT00805015161	ENSCAFG00805008283	0	0	0	0	0	0	0	0
ENSCAFT00805015162	ENSCAFG00805008208	0	0	0	0	0	0	0	0
ENSCAFT00805015163	ENSCAFG00805008275	5.37108	2.52182	4.38748	7.7315	10.94523	3.43396	0	10.56978
ENSCAFT00805015164	ENSCAFG00805008268	0	0	0	0	0	0	0	2
ENSCAFT00805015165	ENSCAFG00805008285	0	0	0	0	0	0	0	0
ENSCAFT00805015166	ENSCAFG00805008258	0	0	0	0	0	0	0	0
ENSCAFT00805015167	ENSCAFG00805008220	0	0	0	0	0	5.37	0	0
ENSCAFT00805015168	ENSCAFG00805008282	1.4153	6.13534	21.99592	9.07858	6.19344	6.93158	0	1.45153
ENSCAFT00805015169	ENSCAFG00805008283	0	7	0	0	0	0	0	0
ENSCAFT00805015170	ENSCAFG00805008240	0	0	0	0	0	0	0	0
ENSCAFT00805015171	ENSCAFG00805008286	0	3	7	4	1	1	2	1
ENSCAFT00805015172	ENSCAFG00805008275	0.00739	0	1.46764	1.55168	0	0	1.17233	7.27124
ENSCAFT00805015173	ENSCAFG00805008174	0	0	0	0	0	0	0	0
ENSCAFT00805015174	ENSCAFG00805007833	0	0	0	0	0	0	0	0
ENSCAFT00805015175	ENSCAFG00805008290	0	0	0	0	0	0	0	0
ENSCAFT00805015176	ENSCAFG00805008293	2	0	0	0	0	1	3	0
ENSCAFT00805015177	ENSCAFG00805008295	0	0	0	0	0	0	0	0
ENSCAFT00805015178	ENSCAFG00805008296	0	0	0	0	0	0	0	0
ENSCAFT00805015179	ENSCAFG00805008282	46.46266	172.17946	241.88743	448.46356	296.19833	126.31568	377.60223	332.79622
ENSCAFT00805015180	ENSCAFG00805008275	127.82836	141.84662	468.19081	288.78059	238.40328	325.55207	291.633	224.24351
ENSCAFT00805015181	ENSCAFG00805008288	70	33	84	29	44	59	57	22
ENSCAFT00805015182	ENSCAFG00805008244	0	21.58753	0	0	0	3	0.4389	0
ENSCAFT00805015183	ENSCAFG00805008292	12	31	67	42	3	21	16	6
ENSCAFT00805015184	ENSCAFG00805008297	0	0	0	0	0	0	0	0
ENSCAFT00805015185	ENSCAFG00805008252	0	0	0	0	0	0	0	0
ENSCAFT00805015186	ENSCAFG00805008240	3	0	0	4	0	0	0	0
ENSCAFT00805015187	ENSCAFG00805008218	1.06832	9.60663	11.19586	0	0	33.89041	0	0
ENSCAFT00805015188	ENSCAFG00805008260	0	0.34343	0	0	0	0	0	0
ENSCAFT00805015189	ENSCAFG00805008290	0	0	0	0	0	0	0	0
ENSCAFT00805015190	ENSCAFG00805008300	244	1040	528	179	84	284	806	52
ENSCAFT00805015191	ENSCAFG00805008294	0	2.25	8.25	6.66667	0	0	0	5.93048
ENSCAFT00805015192	ENSCAFG00805008303	0	0	0	0	0	0	0	0
ENSCAFT00805015193	ENSCAFG00805008299	16	79	22	120	57	51	59	65
ENSCAFT00805015194	ENSCAFG00805008304	0	3	0	0	0	0	1	0
ENSCAFT00805015195	ENSCAFG00805008308	0	0	0	0	0	0	0	0
ENSCAFT00805015196	ENSCAFG00805008305	0	0	0	0	0	0	0	0
ENSCAFT00805015197	ENSCAFG00805008208	0	0	0	0	0	0	0	0
ENSCAFT00805015198	ENSCAFG00805008307	3	6	7	28	11	3	4	6
ENSCAFT00805015199	ENSCAFG00805008282	15.12204	112.6852	57.11665	232.45786	163.60823	10.75273	17.39777	68.75225
ENSCAFT00805015200	ENSCAFG00805008123	0	0	0	0	0	0	0	0
ENSCAFT00805015201	ENSCAFG00805008289	0	0	0	0	0	0	0	0
ENSCAFT00805015202	ENSCAFG00805008309	0	0	0	0	0	0	0	0
ENSCAFT00805015203	ENSCAFG00805008306	0	0	2	0	0	0	0	0
ENSCAFT00805015204	ENSCAFG00805008250	0	0	0	0	0	0	0.5	0
ENSCAFT00805015205	ENSCAFG00805008223	0	0	0	2	2	0	0	0
ENSCAFT00805015206	ENSCAFG00805008294	18	15.75	13.75	3.33333	2	30	23	8.89573
ENSCAFT00805015207	ENSCAFG00805008304	0	0	0	0	0	0	0	0
ENSCAFT00805015208	ENSCAFG00805008130	0	0	0	0	0	0	0	0
ENSCAFT00805015209	ENSCAFG00805008180	9.38011	0	0	14.54862	16.09994	19.78752	0	9.17163
ENSCAFT00805015210	ENSCAFG00805008310	0	0	0	0	0	0	0	1
ENSCAFT00805015211	ENSCAFG00805008242	5.96045	11.08165	10.35685	32.49381	31.91198	6.45323	2.22612	12.44323
ENSCAFT00805015212	ENSCAFG00805008288	0	0	0	0	0	0	0	0
ENSCAFT00805015213	ENSCAFG00805008298	15	235	69	1324	434	2704	2600	241
ENSCAFT00805015214	ENSCAFG00805008208	0	0	0	0	0	0	0	0
ENSCAFT00805015215	ENSCAFG00805008273	0	0	0	0	0	0	0	0
ENSCAFT00805015216	ENSCAFG00805008312	0	1	0	3	0	0	6	0
ENSCAFT00805015217	ENSCAFG00805008316	0	0	0	0	0	0	0	0
ENSCAFT00805015218	ENSCAFG00805008311	2	47	17	5	15	79	35	2
ENSCAFT00805015219	ENSCAFG00805008319	0	0	0	0	0	0	0	0
ENSCAFT00805015220	ENSCAFG00805008321	0	0	0	0	0	0	0	0
ENSCAFT00805015221	ENSCAFG00805008275	1.79317	3.63156	9.95407	11.93623	6.6515	6.01397	6.19467	4.91546
ENSCAFT00805015222	ENSCAFG00805008294	0	0	0	0	0	0	0	0
ENSCAFT00805015223	ENSCAFG00805008301	0	0.25	0	132.05772	0	0.5	0	184.93747
ENSCAFT00805015224	ENSCAFG00805008318	319	211	399	874	753	302	488	144
ENSCAFT00805015225	ENSCAFG00805008325	0	0	0	0	0	0	0	0
ENSCAFT00805015226	ENSCAFG00805008327	0	0	2	1	1	0	0	0
ENSCAFT00805015227	ENSCAFG00805008320	0	0.5	0	1	0	0.33333	0	0
ENSCAFT00805015228	ENSCAFG00805008322	13.86207	17.5	16.28205	49.90909	12.88235	5.96296	4.28706	13.82857
ENSCAFT00805015229	ENSCAFG00805008317	0	0	0	0	0	0	0	0
ENSCAFT00805015230	ENSCAFG00805008331	0	0	0	0	0	0	0	0
ENSCAFT00805015231	ENSCAFG00805008326	0	0	1	0	0	1	0	0
ENSCAFT00805015232	ENSCAFG00805008325	0	0	0	0	0	0	0	0
ENSCAFT00805015233	ENSCAFG00805008334	0	0	0	0	0	7.28205	0	0
ENSCAFT00805015234	ENSCAFG00805007648	1.27927	0.33333	0	0	0	0	0	2.5
ENSCAFT00805015235	ENSCAFG00805008325	0	0	0	0	0	0	0	0
ENSCAFT00805015236	ENSCAFG00805008335	0	0	0	0	0	1	0	0
ENSCAFT00805015237	ENSCAFG00805008332	0	0	0	0	0	0	0	0
ENSCAFT00805015238	ENSCAFG00805008289	0	0	0	0	0	0	0	0
ENSCAFT00805015239	ENSCAFG00805008294	0	0	0	0	0	0	0	0
ENSCAFT00805015240	ENSCAFG00805008301	0	0.25	0	0	0	0	0	0
ENSCAFT00805015241	ENSCAFG00805008312	0	0	0	0	0	0	0	0
ENSCAFT00805015242	ENSCAFG00805008329	177.42079	139.31843	224.04961	829.57708	52.58627	427.97765	330.47012	158.24892
ENSCAFT00805015243	ENSCAFG00805008324	27.125	80.34783	50	41	28	71	68.94444	21
ENSCAFT00805015244	ENSCAFG00805008333	165	284	157	424.89152	503.71484	297.87548	273	289
ENSCAFT00805015245	ENSCAFG00805008338	0	1	0	0	0	0	0	0
ENSCAFT00805015246	ENSCAFG00805008337	1	4	3	0	1	0	1	0
ENSCAFT00805015247	ENSCAFG00805008208	0	0	0	0	0	0	0	0
ENSCAFT00805015248	ENSCAFG00805008339	0	0	0	0	0	0	0	0
ENSCAFT00805015249	ENSCAFG00805008260	0	0.34343	0	0	0	0	0	0
ENSCAFT00805015250	ENSCAFG00805008314	240	363	356	84	113	231	130	48
ENSCAFT00805015251	ENSCAFG00805008341	0	0	0	0	0	0	0	0
ENSCAFT00805015252	ENSCAFG00805008334	0	0	0	0	0	134.71795	0	0
ENSCAFT00805015253	ENSCAFG00805008244	0	0	0	0	0	0	0.4389	0
ENSCAFT00805015254	ENSCAFG00805008343	10.56928	29.04582	31.93683	3.29856	10.67226	14.58464	22.00937	0
ENSCAFT00805015255	ENSCAFG00805008336	1	6	6	162	7	7	0	4.5
ENSCAFT00805015256	ENSCAFG00805008344	0	4	0	0	0	0	0	0
ENSCAFT00805015257	ENSCAFG00805008333	0	0	0	2.10848	2.28516	0	0	0
ENSCAFT00805015258	ENSCAFG00805008273	0	0	20.39737	0	0	0	0	0
ENSCAFT00805015259	ENSCAFG00805008218	79.21576	54.65525	11.19586	0	0	33.89041	33.73825	0
ENSCAFT00805015260	ENSCAFG00805008345	0	0	0	0	0	0	0	0
ENSCAFT00805015261	ENSCAFG00805008329	185.57921	149.4746	231.91052	983.62167	103.93436	148.02235	155.36268	107.49694
ENSCAFT00805015262	ENSCAFG00805008328	0	0	0	0	0	0	0	0
ENSCAFT00805015263	ENSCAFG00805008346	5	134	58	284	41	22	45	13
ENSCAFT00805015264	ENSCAFG00805008348	0	0	0	0	0	0	1	0
ENSCAFT00805015265	ENSCAFG00805008291	1486	298	1864	1549.63466	2675	19990	1208	3994
ENSCAFT00805015266	ENSCAFG00805008349	0	0	0	0	0	0	0	0
ENSCAFT00805015267	ENSCAFG00805008352	0	0	0	0	0	0	0	0
ENSCAFT00805015268	ENSCAFG00805008351	0	0	0	0	0	0	0	0
ENSCAFT00805015269	ENSCAFG00805008208	0	0	0	0	0	0	0	0
ENSCAFT00805015270	ENSCAFG00805008343	0	0	0	0	11.33026	2.6707	13.0673	0
ENSCAFT00805015271	ENSCAFG00805008220	0	1	0	0	1	360.63	0.5	6
ENSCAFT00805015272	ENSCAFG00805008312	0	0	0	0	0	0	0	0
ENSCAFT00805015273	ENSCAFG00805008340	12.57143	32.34375	65.73705	30.94048	20.88235	62.10526	61.49664	6.82927
ENSCAFT00805015274	ENSCAFG00805008353	0	0	0	0	0	0	0	0
ENSCAFT00805015275	ENSCAFG00805008320	0	0.5	0	0	0	0.33333	0	0
ENSCAFT00805015276	ENSCAFG00805008351	0	0	0	0	0	0	0	0
ENSCAFT00805015277	ENSCAFG00805008355	0	0	0	0	0	0	0	0
ENSCAFT00805015278	ENSCAFG00805008354	0	0	0	0	0	0	0	0
ENSCAFT00805015279	ENSCAFG00805008203	1.66667	1.66667	9.59231	1	0	0	13	0
ENSCAFT00805015280	ENSCAFG00805008342	0	0	0	0	0	0	0	0
ENSCAFT00805015281	ENSCAFG00805008347	0	0.5	0	0	0	0	0	0
ENSCAFT00805015282	ENSCAFG00805008329	0	2.20696	1.03987	20.80125	6.47937	0	2.11146	4.25415
ENSCAFT00805015283	ENSCAFG00805008351	0	0	0	0	0	2.76638	0	0
ENSCAFT00805015284	ENSCAFG00805008356	0	0	0	0	0	1	0	0
ENSCAFT00805015285	ENSCAFG00805008357	0	0	0	0	0	0	0	0
ENSCAFT00805015286	ENSCAFG00805008333	0	0	0	0	0	0	0	0
ENSCAFT00805015287	ENSCAFG00805008351	0	0	0	0	0	0.23362	0	0
ENSCAFT00805015288	ENSCAFG00805008336	1	6	0	0	7	0	0	4.5
ENSCAFT00805015289	ENSCAFG00805008360	0	0	1.39732	2.79997	0	1.51795	0	0
ENSCAFT00805015290	ENSCAFG00805008359	0	1	0	7	0	5	2	2
ENSCAFT00805015291	ENSCAFG00805008291	0	0	0	33.36534	0	0	0	0
ENSCAFT00805015292	ENSCAFG00805008273	38.49127	46.16951	20.39737	0	0	15.70932	43.59098	0
ENSCAFT00805015293	ENSCAFG00805008314	0	0	0	0	0	0	0	0
ENSCAFT00805015294	ENSCAFG00805008250	2.93862	4.54302	35.2215	0	0	6.35534	0	0
ENSCAFT00805015295	ENSCAFG00805008362	117	135	85	181	179	162	174	88
ENSCAFT00805015296	ENSCAFG00805008364	0	0	0	0	0	0	0	0
ENSCAFT00805015297	ENSCAFG00805008363	0	0	0	0	0	0	0	0
ENSCAFT00805015298	ENSCAFG00805008368	5	3	4	10	3	4	6	1
ENSCAFT00805015299	ENSCAFG00805008366	0	0	0	0	0	0	0	0
ENSCAFT00805015300	ENSCAFG00805008289	0	0	0	1.23812	0	0	0	5
ENSCAFT00805015301	ENSCAFG00805008328	0	0	0	0	0	0	0	0
ENSCAFT00805015302	ENSCAFG00805008367	0	0	0	0	0	0	0	0
ENSCAFT00805015303	ENSCAFG00805008130	0	0	0	0	0	0	0	0
